Name,Surname,Birthdate,Street Address,City,State,Zip,Phone,Interests,Photo
Kyla,Whitley,11/7/1957,Ap #145 Justo. St.,Huntsville,Alabama,35195,1 (811) 636-0309,"Table Football, Exhibition Drill, Soccer, Astronomy, Curling, Flower Arranging",men (71).jpg
Sheila,Whitley,8/12/1940,257 Mauris. Avenue,Southaven,Mississippi,91367,1 (397) 441-5788,"Jogging, Roller Derby, Mountain Biking, Jigsaw Puzzles",men (10).jpg
Madonna,Wilkerson,3/9/1982,"P.O. Box 184, 3155 Nec Avenue",Wichita,KS,87402,1 (618) 827-0390,"Beekeeping, Ultimate Disc , Color Guard",men (6).jpg
Ginger,Williams,3/25/1975,7793 Sapien Avenue,Metairie,LA,37431,1 (288) 758-3290,"Table Tennis, Driving, Shooting",women (57).jpg
Paul,Wise,1/15/1987,"P.O. Box 106, 1730 Nec Road",Wichita,KS,63727,1 (285) 736-5603,"Watching Movies, Kabaddi, Herping, Traveling, Crochet",men (6).jpg
Charles,Wise,6/24/1948,"6446 Mi, Road",Sioux City,IA,95946,1 (604) 957-6614,"Antiquities, Scuba Diving, Road Biking",men (71).jpg
Yardley,Witt,3/27/1944,198 In Rd.,Rockville,MD,18181,1 (967) 349-5445,"Fashion, Fashion, Flower Arranging",men (76).jpg
Alec,Wolf,1/31/1986,859 Nunc Rd.,Orlando,Florida,32328,1 (765) 309-3302,"Boxing, Gunsmithing, Lego Building",men (94).jpg
Malachi,Workman,11/14/1933,"P.O. Box 505, 5476 A Rd.",Tallahassee,FL,57571,1 (390) 642-7138,"Aircraft Spotting, Astronomy, Magic, Dancing",women (34).jpg
Darrel,Zimmerman,11/4/1969,240 Scelerisque Av.,Rochester,MN,15663,1 (149) 751-0287,"Jigsaw Puzzles, Origami, Creative Writing, Rugby League Football, Equestrianism",women (39).jpg
